,Case Number,Month,Year,Country,Activity,Injury
0,2016.09.18.c,September,2016,USA,Surfing,Leg
1,2016.09.18.b,September,2016,USA,Surfing,Arm
2,2016.09.18.a,September,2016,USA,Surfing,Leg
3,2016.09.17,September,2016,AUSTRALIA,Surfing,Leg
4,2016.09.15,September,2016,AUSTRALIA,Surfing,No injury
5,2016.09.15.R,September,2016,AUSTRALIA,Fishing,No injury
6,2016.09.11,September,2016,USA,Shore,Arm
7,2016.09.07,September,2016,USA,Swimming,Arm
8,2016.09.06,September,2016,NEW CALEDONIA,Surfing,FATAL
9,2016.09.05.b,September,2016,USA,Water sports,Leg
10,2016.09.05.a,September,2016,AUSTRALIA,Surfing,OTHER
11,2016.09.04,September,2016,USA,Water sports,Leg
12,2016.09.01,September,2016,USA,Fishing,Leg
13,2016.08.29.b,August,2016,USA,Surfing,Leg
14,2016.08.29.a,August,2016,USA,Surfing,Leg
15,2016.08.27,August,2016,REUNION,Surfing,Leg
16,2016.08.25,August,2016,USA,Shore,Leg
17,2016.08.07,August,2016,BAHAMAS,Diving,Leg
18,2016.08.06,August,2016,USA,Water sports,OTHER
19,2016.08.04,August,2016,USA,Surfing,Leg
20,2016.07.29,July,2016,SPAIN,Swimming,Arm
21,2016.07.28.R,July,2016,OTHER,Swimming,Leg
22,2016.07.28,July,2016,AUSTRALIA,Water sports,No injury
23,2016.07.27,July,2016,USA,OTHER,Arm
24,2016.07.26,July,2016,AUSTRALIA,Surfing,Leg
25,2016.07.24,July,2016,JAPAN,Surfing,Leg
26,2016.07.23.b,July,2016,AUSTRALIA,Surfing,Leg
27,2016.07.23.a,July,2016,BAHAMAS,Fishing,Leg
28,2016.07.20,July,2016,AUSTRALIA,Fishing,Leg
29,2016.07.17,July,2016,USA,Fishing,No injury
30,2016.07.16.b,July,2016,USA,Surfing,Leg
31,2016.07.16.a,July,2016,USA,Unknown,Leg
32,2016.07.15,July,2016,USA,Swimming,Leg
33,2016.07.14.4,July,2016,BAHAMAS,Diving,OTHER
34,2016.07.08.R,July,2016,SPAIN,Shore,Leg
35,2016.07.08,July,2016,USA,Fishing,No injury
36,2016.07.07.b,July,2016,USA,Fishing,Arm
37,2016.07.07.a,July,2016,USA,Fishing,No injury
38,2016.07.06,July,2016,USA,Swimming,Leg
39,2016.07.04,July,2016,AUSTRALIA,Fishing,Leg
40,2016.06.27,June,2016,USA,Unknown,No injury
41,2016.06.25,June,2016,USA,Surfing,Leg
42,2016.06.24,June,2016,OTHER,Diving,Arm
43,2016.06.23,June,2016,SOUTH AFRICA,Fishing,Leg
44,2016.06.21.b,June,2016,USA,Swimming,Leg
45,2016.06.21.a,June,2016,USA,Shore,Leg
46,2016.06.15.b,June,2016,USA,Surfing,Arm
47,2016.06.15.a,June,2016,AUSTRALIA,Fishing,No injury
48,2016.06.14,June,2016,USA,Swimming,Leg
49,2016.06.11,June,2016,USA,Shore,Arm
50,2016.06.07,June,2016,USA,Surfing,No injury
51,2016.06.05.b,June,2016,USA,Swimming,Leg
52,2016.06.05.a,June,2016,AUSTRALIA,Diving,FATAL
53,2016.06.04,June,2016,EGYPT,Swimming,Leg
54,2016.06.02.b,June,2016,AUSTRALIA,Fishing,No injury
55,2016.06.02.a,June,2016,NEW CALEDONIA,Surfing,Leg
56,2016.05.31,May,2016,AUSTRALIA,Surfing,FATAL
57,2016.05.29.b,May,2016,USA,Swimming,Arm
58,2016.05.29.a,May,2016,USA,Swimming,Leg
59,2016.05.22,May,2016,USA,Swimming,Leg
60,2016.05.21.b,May,2016,USA,Swimming,Leg
61,2016.05.21.a,May,2016,USA,Swimming,Arm
62,2016.05.18,May,2016,USA,Swimming,Leg
63,2016.05.15,May,2016,USA,OTHER,Arm
64,2016.05.03,May,2016,USA,Swimming,Arm
65,2016.05.02,May,2016,NEW ZEALAND,Fishing,Leg
66,2016.04.25,April,2016,INDONESIA,Surfing,Arm
67,2016.04.23,April,2016,USA,Surfing,Leg
68,2016.04.22,April,2016,SOUTH AFRICA,Surfing,No injury
69,2016.04.19,April,2016,AUSTRALIA,Swimming,Leg
70,2016.04.18,April,2016,FRENCH POLYNESIA,Fishing,Leg
71,2016.04.13,April,2016,USA,Fishing,Arm
72,2016.04.09,April,2016,NEW CALEDONIA,Shore,FATAL
73,2016.04.08,April,2016,OTHER,Unknown,OTHER
74,2016.04.07.b,April,2016,USA,Fishing,Arm
75,2016.04.07.a,April,2016,USA,OTHER,No injury
76,2016.03.31,March,2016,USA,Diving,Leg
77,2016.03.30,March,2016,AUSTRALIA,Surfing,Leg
78,2016.03.28.b,March,2016,USA,Unknown,Arm
79,2016.03.28.a,March,2016,AUSTRALIA,Surfing,No injury
80,2016.03.26,March,2016,BAHAMAS,Unknown,Trunk
81,2016.03.13,March,2016,USA,Surfing,No injury
82,2016.03.11,March,2016,USA,Surfing,Leg
83,2016.03.10,March,2016,FIJI,Diving,FATAL
84,2016.03.04,March,2016,USA,Unknown,Leg
85,2016.03.03.R,March,2016,AUSTRALIA,Fishing,Leg
86,2016.03.02,March,2016,BRAZIL,Swimming,No injury
87,2016.02.22,February,2016,NEW CALEDONIA,Surfing,Leg
88,2016.02.19,February,2016,NEW CALEDONIA,Fishing,Arm
89,2016.02.12,February,2016,OTHER,Shore,Leg
90,2016.02.10.R,February,2016,OTHER,OTHER,Arm
91,2016.02.10,February,2016,AUSTRALIA,Surfing,No injury
92,2016.02.05,February,2016,AUSTRALIA,Shore,Leg
93,2016.02.04,February,2016,AUSTRALIA,Surfing,No injury
94,2016.01.29,January,2016,SOUTH AFRICA,Fishing,No injury
95,2016.01.28,January,2016,USA,Surfing,Arm
96,2016.01.25,January,2016,USA,Surfing,No injury
97,2016.01.24.b,January,2016,USA,Fishing,OTHER
98,2016.01.24.a,January,2016,OTHER,Fishing,No injury
99,2016.01.23,January,2016,USA,Water sports,No injury
100,2016.01.11.R,January,2016,AUSTRALIA,Surfing,Leg
101,2016.01.05,January,2016,AUSTRALIA,Shore,Leg
102,2016.01.02,January,2016,AUSTRALIA,Fishing,Leg
103,2015.12.26,December,2015,SOUTH AFRICA,Fishing,No injury
104,2015.12.25,December,2015,SPAIN,Swimming,Arm
105,2015.12.22,December,2015,USA,Water sports,No injury
106,2015.12.21.b,December,2015,AUSTRALIA,Surfing,No injury
107,2015.12.21.a,December,2015,BRAZIL,Diving,Arm
108,2015.12.19,December,2015,OTHER,OTHER,FATAL
109,2015.12.13,December,2015,AUSTRALIA,Fishing,No injury
110,2015.12.11,December,2015,BAHAMAS,Fishing,Leg
111,2015.12.08,December,2015,SOUTH AFRICA,Swimming,Arm
112,2015.11.16,November,2015,USA,Surfing,Leg
113,2015.11.15.b,November,2015,USA,Swimming,Leg
114,2015.11.15.a,November,2015,USA,Surfing,Arm
115,2015.11.10,November,2015,AUSTRALIA,Surfing,Leg
116,2015.12.23,December,2015,USA,Surfing,Leg
117,2015.11.03,November,2015,USA,Swimming,Leg
118,2015.11.01.b,November,2015,USA,Shore,Leg
119,2015.11.01.a,November,2015,MOZAMBIQUE,Fishing,Arm
120,2015.10.30,October,2015,AUSTRALIA,Fishing,No injury
121,2015.10.28.a,October,2015,USA,Water sports,Leg
122,2015.10.25,October,2015,SOUTH AFRICA,Surfing,Leg
123,2015.10.21,October,2015,USA,Surfing,Arm
124,2015.10.19,October,2015,USA,Surfing,Leg
125,2015.10.17.c,October,2015,MOZAMBIQUE,Fishing,FATAL
126,2015.10.17.b,October,2015,USA,Surfing,Leg
127,2015.10.17.a,October,2015,USA,Swimming,Leg
128,2015.10.13,October,2015,USA,Fishing,No injury
